titles,link,article,time,media
總統大選》批馬不在乎民怨　謝：讓驕傲公雞留歷史,https://news.ltn.com.tw/news/politics/breakingnews/592451,"黨總統候選人蔡英文的競選團隊總指揮謝長廷，在噗浪（plurk）po文批評，國民黨總統候選人馬英九說不在乎民怨，既然如此，選民就一起用選票把「驕傲的公雞留在歷史」。

　謝長廷在噗浪上表示，馬英九...",<generator object <genexpr> at 0x1191d9570>,Liberal Times
總統大選》企業紛表態　施明德：過度了,https://news.ltn.com.tw/news/politics/breakingnews/592440,時新聞／綜合報導〕台灣總統大選進入倒數期間，部分企業主表態挺「九二共識」與國民黨總統候選人馬英九。今（13）日前紅衫軍總指揮施明德接受媒體訪問時，指出這波企業界表態潮，已經「過度了」，會讓國人有中國以商...,<generator object <genexpr> at 0x1191d95e8>,Liberal Times
總統大選》日看大選　蔡英文、馬英九五五波,https://news.ltn.com.tw/news/politics/breakingnews/592439,"展開投票，與台灣關係相當密切的日本也關注這場選舉，日本媒體認為，這次選戰雖國民黨總統參選人馬英九有執政優勢，但是在野黨的民進黨總統候參人蔡英文卻急起直追，現在造成馬、蔡兩人的支持度是伯仲之間。

　...",<generator object <genexpr> at 0x1191d9660>,Liberal Times
總統大選》彭博社看大選　小豬威力力抗財團,https://news.ltn.com.tw/news/politics/breakingnews/592410,"有著反差的效果，小豬也吸引中下階層選民的支持。」

　針對國民黨的部分，彭博社認為，「馬英九主打與中國維持和平穩定，以確保台灣經濟穩定發展，無論是大財團或中小企業，都有可能被馬英九政策吸引，...",<generator object <genexpr> at 0x1191d96d8>,Liberal Times
總統大選》紐時關注台大選　「決定核能命運」,https://news.ltn.com.tw/news/politics/breakingnews/592376,"人的生活有相當緊迫的危機，蔡英文在台灣選舉中點出這個被許多人遺忘的議題，而國民黨總統候選人馬英九則在蔡英文之後，跟進加強馬政府核能政策的宣導。

　不過《紐約時報》評論指出，儘管馬英九在執政...",<generator object <genexpr> at 0x1191d9750>,Liberal Times
總統大選》網友再KUSO　候選人成電視劇主角,https://news.ltn.com.tw/news/politics/breakingnews/592332,"結，網友稱，「沒想到總統大選激發出人民的改圖能力。」

　雖許多人稱他們男帥女美，還說馬英九年輕時和王陽明長的很像，蔡英文也被與日本女星宮崎葵聯想在一塊，不過也有網友回應，「為什麼要破壞我美好的回憶...",<generator object <genexpr> at 0x1191d97c8>,Liberal Times
總統大選》周美青新營拜票　菜販生氣揮手,https://news.ltn.com.tw/news/politics/breakingnews/592249,馬友會動員支持者到場歡迎，場面熱烈，周美青一進入市場，也確實受到買菜的婆婆媽媽喜歡，高喊「馬英九當選」，熱情握手、擁抱和索取簽名。1小時5分後，周美青結束拜票時，剛好又遇上民進黨遊行車隊，擴聲器高喊請大...,<generator object <genexpr> at 0x1191d9840>,Liberal Times
總統大選》出示買票影帶　綠質疑買票放手一搏,https://news.ltn.com.tw/news/politics/breakingnews/592198,"，收錢的婦女比出2號手勢，民進黨指國民黨嘉義縣立委候選人翁重鈞已否認買票，國民黨總統候選人馬英九也是2號，那2號是誰？

民進黨發言人林俊憲質疑，國民黨說雲嘉南的選票開出來會讓大家跌破眼鏡，難道是靠...",<generator object <genexpr> at 0x1191d98b8>,Liberal Times
今日各報重點新聞一覽,https://news.ltn.com.tw/news/politics/breakingnews/592110,"北 宋固守台中
明天就是總統大選投票日，3組總統候選人今天卯足全力衝刺選票。國民黨候選人馬英九將搭乘總統專機，一晚連趕高雄、台中與台北三場造勢晚會，最後在凱道壓軸催票，要讓10萬人「馬英九凍蒜...",<generator object <genexpr> at 0x1191d9930>,Liberal Times
親中有回報,https://news.ltn.com.tw/news/opinion/paper/553977,"「九二共識概念股」，在多數股票疲弱之下，「九二共識概念股」一片紅通通的現象，令人側目。
馬英九執政三年半來向中國傾斜，雖然造成企業大量西進，台灣失業率居高不下，貧富差距加劇，但少數紅頂商人卻是既得利益...",<generator object <genexpr> at 0x1191d99a8>,Liberal Times
陪蘇俊賓拜票 周美青超人氣,https://news.ltn.com.tw/news/local/paper/553965,"抵達台南，陪同立委候選人蘇俊賓掃街站台，連「華語流行音樂教父」滾石唱片創辦人段鍾潭也現身為馬英九和蘇俊賓加油打氣。
周美青昨天下午抵達台南市松安里，拜訪里長黃高能、林杏枝夫婦，並參觀里長辦公室裡的老人...",<generator object <genexpr> at 0x1191d9a20>,Liberal Times
陳唐山掃街 賴清德相隨,https://news.ltn.com.tw/news/local/paper/553962,"
賴清德還公開反嗆藍營的李全教，文宣訴求自己爭取多少建設經費，「都是誇大之詞」，四年前為馬英九開的廢除國道新市、白河收費站政見支票，國民黨執政都無法兌現了，「他真的有能耐嗎？大家心知肚明」，鄉親千萬不...",<generator object <genexpr> at 0x1191d9a98>,Liberal Times
高市綠營目標 小英96萬票起跳,https://news.ltn.com.tw/news/local/paper/553961,"〔記者侯承旭、蔡清華／高雄報導〕民進黨設定蔡英文在高雄市要贏馬英九二十二萬票，若以選舉人數與投票率換算，英嘉配得票數必須從九十六萬票起跳，藍營則希望將藍綠得票差距，壓在十萬票以內。
國民黨盼差距壓在1...",<generator object <genexpr> at 0x1191d9b10>,Liberal Times
